"fish_id","datetime","sal_ppt","o2_mgl","temp_c","pres_hpa","smr_mgo2_kg_h"
"FV016","2025-06-30 21:09:17",35,7.63481934988931,14.1546666666667,1004,171.420313214229
"FV015","2025-06-30 21:13:35",35,7.67323528299707,14.1523333333333,1004,183.616838192413
"FV017","2025-06-30 22:04:48",35,7.51363174116091,14.1515,1004,174.894180340399
"FV020","2025-06-30 22:53:59",35,7.92866044668065,14.0935,1004,196.036236896871
"FV021","2025-06-30 23:28:28",35,7.86633981435593,14.0938333333333,1004,199.09569375125
"FV019","2025-07-01 03:00:21",35,7.91798070045866,14.0901666666667,1004,189.26678860415
"FV018","2025-07-01 06:28:26",35,7.74005853306636,14.0848333333333,1004,232.890965290863
"FV028","2025-07-01 21:34:18",35,6.79336744793768,18.153,1004,294.464286989928
"FV027","2025-07-01 23:44:50",35,6.82817418692244,18.16,1004,223.16421497034
"FV024","2025-07-01 23:45:58",35,6.83918670900374,18.1898333333333,1004,216.568365487862
"FV025","2025-07-02 01:10:35",35,6.56208938525812,18.1691666666667,1004,266.397703018163
"FV023","2025-07-02 01:46:20",35,6.80007187602156,18.1991666666667,1004,268.521693668895
"FV026","2025-07-02 03:34:05",35,6.80525805120884,18.1576666666667,1004,245.359701435374
"FV022","2025-07-02 07:26:41",35,6.49881577126301,18.1786666666667,1004,242.897559949721
"FV034","2025-07-02 14:15:42",35,8.82448540116887,9.143,1004,189.548419606864
"FV029","2025-07-03 00:09:29",35,8.70636305191005,8.96083333333333,1004,129.343858978182
"FV030","2025-07-03 02:00:24",35,8.82322404719199,8.98083333333333,1004,101.422265540246
"FV031","2025-07-03 03:53:57",35,8.77853316534686,8.96733333333333,1004,131.587480419385
"FV032","2025-07-03 05:56:24",35,8.69446411165828,8.956,1004,107.548817893405
"FV035","2025-07-03 06:25:44",35,8.80593939225069,8.90116666666667,1004,109.914634923767
"FV033","2025-07-03 07:33:11",35,8.81510270067135,8.9185,1004,128.170983897278
"FV042","2025-07-08 00:01:33",35,7.36782659769486,15.1493333333333,1006,189.797621531573
"FV037","2025-07-08 02:41:49",35,7.25197978337781,15.1971666666667,1006,184.245737859502
"FV040","2025-07-08 02:50:21",35,7.45376181928412,15.143,1006,169.796666554003
"FV036","2025-07-08 05:48:07",35,7.08327304198982,15.1988333333333,1006,189.401242331811
"FV041","2025-07-08 06:24:06",35,7.10870259618356,15.1425,1006,180.098343166874
"FV038","2025-07-08 06:56:23",35,7.15477256572092,15.1945,1006,191.0763439277
"FV052","2025-07-09 20:33:34",35,6.5090408204673,18.9981666666667,1012,239.24834437737
"FV053","2025-07-09 22:13:19",35,6.78656185323956,18.99,1012,248.976355918288
"FV051","2025-07-09 23:04:57",35,6.93881766661587,19.0121666666667,1012,248.755388720699
"FV050","2025-07-10 01:44:05",35,6.6619252994718,19.0241666666667,1012,245.418625128036
"FV054","2025-07-10 05:13:48",35,6.2221261779288,18.9503333333333,1012,307.595644975203
"FV055","2025-07-10 07:21:58",35,6.79655567768919,18.9085,1012,263.828346529823
"FV057","2025-07-11 01:36:28",35,8.12971624843845,11.0326666666667,1010,122.046536009793
"FV061","2025-07-11 01:42:55",35,8.14115161296061,10.9593333333333,1010,132.890693211765
"FV060","2025-07-11 01:48:25",35,7.99313067454315,10.9585,1010,126.236732294033
"FV059","2025-07-11 01:49:59",35,8.24146544953903,11.0316666666667,1010,147.871355595943
"FV063","2025-07-11 04:07:40",35,8.2724879710325,10.942,1010,149.245241726315
"FV062","2025-07-11 05:23:17",35,8.24165810451674,10.938,1010,123.965132134434
"FV058","2025-07-11 06:23:25",35,8.10241889110702,11.0023333333333,1010,119.041413716171
"FV067","2025-07-14 21:30:25",35,6.56476292859882,17.0781666666667,1005,251.234404771085
"FV064","2025-07-14 22:36:58",35,6.44626018998902,17.1043333333333,1005,237.97819835688
"FV066","2025-07-14 23:18:39",35,6.68512508970201,17.1068333333333,1005,204.594918260368
"FV065","2025-07-14 23:44:40",35,6.83431902382695,17.1033333333333,1005,179.807591073564
"FV069","2025-07-15 00:41:34",35,6.7741031369931,17.0718333333333,1005,205.486178661794
"FV068","2025-07-15 07:08:23",35,6.92183706016799,17.0783333333333,1005,209.537799697829
"FV076","2025-07-15 20:39:57",35,7.74705361043716,12.9916666666667,1005,162.683782619378
"FV073","2025-07-15 20:50:42",35,7.48660907886542,13.0531666666667,1005,188.148215654515
"FV071","2025-07-16 04:13:59",35,7.55286225655449,13.0461666666667,1005,175.078074094759
"FV074","2025-07-16 05:29:09",35,7.42209049020746,12.9925,1005,158.69045211529
"FV072","2025-07-16 06:08:48",35,7.8505822322459,13.0498333333333,1005,154.451500388333
"FV075","2025-07-16 07:27:22",35,7.5519205652145,13.0513333333333,1005,162.912945602853
"FV078","2025-07-16 22:33:22",35,8.99240300903608,8.00883333333333,1005,90.8151026377652
"FV079","2025-07-16 23:34:24",35,8.9671276726584,8.0045,1005,109.936060393771
"FV080","2025-07-17 00:10:59",35,8.91722805708444,7.972,1005,99.5106268932305
"FV082","2025-07-17 01:35:32",35,9.00624105124468,7.977,1005,100.703122622037
"FV081","2025-07-17 03:52:40",35,8.96220304360751,7.97633333333333,1005,99.9402390192146
"FV077","2025-07-17 05:26:10",35,9.01018935685741,8.00616666666667,1005,128.279898041162
"FV083","2025-07-17 06:56:15",35,8.98469053686904,7.97833333333333,1005,88.7475341316633
"FV088","2025-07-17 20:18:30",35,6.45932102650255,19.9701666666667,1006,280.643732889076
"FV085","2025-07-17 23:27:49",35,6.33782574270506,20.0971666666667,1006,256.888415343002
