"fish_id","datetime","sal_ppt","o2_mgl","temp_c","pres_hpa","alpha_close_mgo2_kg_h_kPa"
"FV015",2025-07-01 07:58:38,35,4.25645872224134,14.1246666666667,1004,24.1387916104061
"FV015",2025-07-01 07:58:35,35,4.26951431843315,14.124,1004,24.0900479158044
"FV015",2025-07-01 07:58:36,35,4.27120679866104,14.1243333333333,1004,24.0791039420752
"FV016",2025-07-01 08:09:13,35,2.72131376746401,14.1175,1004,28.2670741265861
"FV016",2025-07-01 08:09:12,35,2.72485468436284,14.1176666666667,1004,28.2463398879858
"FV016",2025-07-01 08:09:11,35,2.72731319986753,14.1176666666667,1004,28.2433934580428
"FV017",2025-07-01 08:01:52,35,2.73085215038121,14.1208333333333,1004,29.5253544452343
"FV017",2025-07-01 08:01:51,35,2.73223023087691,14.1205,1004,29.5102820186292
"FV017",2025-07-01 08:01:53,35,2.72977171537222,14.121,1004,29.4937309822761
"FV018",2025-07-01 08:03:54,35,5.52040506038426,14.0615,1004,15.5223808702367
"FV018",2025-07-01 08:03:52,35,5.51548198809497,14.0615,1004,15.4502503259776
"FV018",2025-07-01 08:03:53,35,5.52040506038426,14.0615,1004,15.4401508256309
"FV019",2025-07-01 08:15:35,35,3.32061225912234,14.0555,1004,30.8378210190138
"FV019",2025-07-01 08:15:32,35,3.32881737960448,14.055,1004,30.8262889338491
"FV019",2025-07-01 08:15:31,35,3.33209942779733,14.0548333333333,1004,30.7624320192773
"FV020",2025-07-01 08:27:33,35,1.95445969884591,14.0568333333333,1004,26.4364097035313
"FV020",2025-07-01 08:27:32,35,1.95445969884591,14.0566666666667,1004,26.3763995659039
"FV020",2025-07-01 08:27:34,35,1.95610072294234,14.057,1004,26.3479356477431
"FV021",2025-07-01 08:16:20,35,2.38933108439937,14.0583333333333,1004,29.4398597127035
"FV021",2025-07-01 08:16:19,35,2.38933108439937,14.0583333333333,1004,29.4268361733543
"FV021",2025-07-01 08:16:18,35,2.3909721084958,14.0583333333333,1004,29.368121597567
"FV022",2025-07-02 08:09:47,35,2.70986905441487,18.1645,1004,36.6967395620721
"FV022",2025-07-02 08:09:48,35,2.7075994823425,18.1646666666667,1004,36.6732563541219
"FV022",2025-07-02 08:09:46,35,2.71667777063199,18.1643333333333,1004,36.6284894409361
"FV023",2025-07-02 08:16:05,35,2.23444130917353,18.1615,1004,35.4475711149345
"FV023",2025-07-02 08:16:06,35,2.23292797269594,18.1616666666667,1004,35.4227946985732
"FV023",2025-07-02 08:16:07,35,2.22956964177727,18.1616666666667,1004,35.4127494317298
"FV024",2025-07-02 08:05:14,35,3.26440116409832,18.1645,1004,33.2003758398323
"FV024",2025-07-02 08:05:15,35,3.26213159202594,18.1645,1004,33.1655998777611
"FV024",2025-07-02 08:05:16,35,3.25910549592944,18.1643333333333,1004,33.1462120850535
"FV025",2025-07-02 08:14:50,35,1.9192515325087,18.1293333333333,1004,38.2125874911376
"FV025",2025-07-02 08:14:48,35,1.92340387473171,18.1295,1004,38.2031352980609
"FV025",2025-07-02 08:14:54,35,1.90940921695737,18.1291666666667,1004,38.1979489604677
"FV026",2025-07-02 08:11:58,35,2.14713899258172,18.13,1004,33.7908813046484
"FV026",2025-07-02 08:11:55,35,2.15471000454428,18.13,1004,33.7765938495945
"FV026",2025-07-02 08:11:56,35,2.15471000454428,18.13,1004,33.7764365299184
"FV027",2025-07-02 08:08:13,35,2.51357597156958,18.1311666666667,1004,33.5116971098144
"FV027",2025-07-02 08:07:45,35,2.61805593665289,18.1331666666667,1004,33.5081955095673
"FV027",2025-07-02 08:07:46,35,2.61351332947536,18.1331666666667,1004,33.5026330271408
"FV028",2025-07-02 08:15:38,35,1.72543362626719,18.1266666666667,1004,36.3625764248102
"FV028",2025-07-02 08:15:42,35,1.71937681669714,18.1261666666667,1004,36.3394964257722
"FV028",2025-07-02 08:15:43,35,1.71634841191212,18.1261666666667,1004,36.3299821881246
"FV029",2025-07-03 08:45:41,35,2.18544905832652,8.912,1004,30.4274364395416
"FV029",2025-07-03 08:46:33,35,2.09059753816807,8.91516666666667,1004,30.3841258383535
"FV029",2025-07-03 08:45:42,35,2.18544905832652,8.912,1004,30.3729793818463
"FV030",2025-07-03 08:50:18,35,1.74665847477346,8.91316666666667,1004,26.4669239242267
"FV030",2025-07-03 08:50:19,35,1.74665847477346,8.91366666666667,1004,26.3939530364901
"FV030",2025-07-03 08:50:17,35,1.74849031376116,8.91283333333333,1004,26.3865330162996
"FV031",2025-07-03 09:02:09,35,3.52171045385629,8.928,1004,13.0708324906652
"FV031",2025-07-03 09:02:12,35,3.51425598440522,8.92766666666667,1004,13.0344432950075
"FV031",2025-07-03 09:01:05,35,3.57483378449964,8.92533333333333,1004,13.0230782377868
"FV032",2025-07-03 08:49:17,35,1.79509211960657,8.91616666666667,1004,22.7399313921281
"FV032",2025-07-03 08:49:20,35,1.79182913365277,8.91533333333333,1004,22.7271487817388
"FV032",2025-07-03 08:49:27,35,1.77676550276525,8.914,1004,22.693527650304
"FV033",2025-07-03 08:57:38,35,1.77298004120101,8.88166666666667,1004,27.7635924772148
"FV033",2025-07-03 08:57:37,35,1.77481352624878,8.8815,1004,27.7310021185337
"FV033",2025-07-03 08:57:36,35,1.77481352624878,8.88133333333333,1004,27.7118154809207
"FV034",2025-07-03 08:17:47,35,3.69071767229607,8.87766666666667,1004,19.3678067191956
"FV034",2025-07-03 08:17:48,35,3.69246417669392,8.8775,1004,19.3584859554929
"FV034",2025-07-03 08:17:52,35,3.68154818739596,8.87733333333333,1004,19.332654159274
"FV035",2025-07-03 09:10:45,35,2.12728154435196,8.892,1004,25.0928400505838
"FV035",2025-07-03 09:10:46,35,2.12728154435196,8.89216666666667,1004,25.0709299602271
"FV035",2025-07-03 09:10:48,35,2.12178232450443,8.8925,1004,25.058677388059
"FV036",2025-07-08 08:07:03,35,2.03172325947548,15.1821666666667,1006,28.7213332501922
"FV036",2025-07-08 08:07:01,35,2.03493801146832,15.1821666666667,1006,28.6866676106228
"FV036",2025-07-08 08:07:02,35,2.02931219548085,15.1821666666667,1006,28.6605245244456
"FV037",2025-07-08 07:58:24,35,2.16031333918911,15.1783333333333,1006,32.6362629027471
"FV037",2025-07-08 07:58:22,35,2.16995759516764,15.1785,1006,32.5692214973048
"FV037",2025-07-08 07:58:23,35,2.16835021917122,15.1783333333333,1006,32.564092447809
"FV038",2025-07-08 07:57:22,35,1.87580778782269,15.1808333333333,1006,30.4385967446594
"FV038",2025-07-08 07:57:23,35,1.87382423254792,15.1811666666667,1006,30.4180171262109
"FV038",2025-07-08 07:57:24,35,1.86937828383701,15.1811666666667,1006,30.4148544280213
"FV040",2025-07-08 08:03:40,35,2.22764795435467,15.1265,1006,35.2483090806575
"FV040",2025-07-08 08:03:39,35,2.22764795435467,15.1263333333333,1006,35.2393749611193
"FV040",2025-07-08 08:03:42,35,2.22121199060067,15.1265,1006,35.1923034175986
"FV041",2025-07-08 07:53:44,35,2.69103734464297,15.127,1006,31.6299527702279
"FV041",2025-07-08 07:53:45,35,2.68460138088896,15.127,1006,31.6178674383316
"FV041",2025-07-08 07:53:43,35,2.69586431745847,15.127,1006,31.6036057269509
"FV042",2025-07-08 08:06:29,35,2.0369825281423,15.1268333333333,1006,28.3670937086243
"FV042",2025-07-08 08:06:31,35,2.03135105985755,15.1266666666667,1006,28.3437967130271
"FV042",2025-07-08 08:06:28,35,2.0385915190808,15.1268333333333,1006,28.3120691050801
"FV043",2025-07-09 08:29:03,35,2.32827119478625,16.0371666666667,1012,33.3323633456319
"FV043",2025-07-09 08:29:05,35,2.32032216373543,16.037,1012,33.3240279268664
"FV043",2025-07-09 08:29:06,35,2.32032216373543,16.037,1012,33.311729281843
"FV048",2025-07-09 08:24:49,35,2.11012995197016,16.0008333333333,1012,30.3453260895411
"FV048",2025-07-09 08:24:48,35,2.11569757717325,16.0008333333333,1012,30.3317405884517
"FV048",2025-07-09 08:24:47,35,2.11569757717325,16.0008333333333,1012,30.3094950663809
"FV050",2025-07-10 08:23:23,35,1.86967327816038,18.8978333333333,1012,36.5254740086199
"FV050",2025-07-10 08:23:24,35,1.86816911623104,18.8978333333333,1012,36.5231411545847
"FV050",2025-07-10 08:23:25,35,1.86551193879562,18.8976666666667,1012,36.5057492688735
"FV051",2025-07-10 08:29:16,35,2.24087099422264,18.8926666666667,1012,37.4095126059939
"FV051",2025-07-10 08:29:17,35,2.23710988144281,18.8926666666667,1012,37.35931739999
"FV051",2025-07-10 08:29:15,35,2.24087099422264,18.8928333333333,1012,37.2959176866233
"FV052",2025-07-10 08:21:46,35,2.10206629624226,18.902,1012,33.3184711951511
"FV052",2025-07-10 08:21:44,35,2.10958710588892,18.9021666666667,1012,33.3007423173642
"FV052",2025-07-10 08:21:47,35,2.1024620439249,18.9018333333333,1012,33.2843040494244
"FV053",2025-07-10 08:27:53,35,2.50565333392267,18.8928333333333,1012,37.9331536213727
"FV053",2025-07-10 08:28:07,35,2.46578553845647,18.8923333333333,1012,37.9147071627002
"FV053",2025-07-10 08:28:08,35,2.46456932121141,18.8925,1012,37.914174630774
